Date,消費電力,最高気温,降水量,日照時間,最大風速,平均風速,平均湿度,平均雲量,天気
2020/7/1,967,26.7,18,0.2,6.4,1.8,94,10,曇
2020/7/2,951,29.6,2.5,4.7,5.7,3,77,6.3,晴
2020/7/3,952,26,0,8.8,7.3,3.7,74,10,曇
2020/7/4,786,19.9,42.5,0,4.8,3,96,10,雨
2020/7/5,751,22,0.5,0,4.1,2,94,10,曇
2020/7/6,922,21.6,6,0,3.3,1.5,97,10,雨
2020/7/7,986,27.8,6,0.9,3.4,1.3,95,10,雨
2020/7/8,965,23.6,31,0.2,6.5,1.9,98,10,雨
2020/7/9,1004,26.7,0,0.5,4.6,1.6,87,10,曇
2020/7/10,987,25.8,14.5,0,4.6,1.8,95,9.5,雨
2020/7/11,851,27.1,7.5,1.8,5.1,2,95,10,曇
2020/7/12,768,20.7,20,0,5,2.6,98,10,雨
2020/7/13,908,20.5,2.5,0,5,2.8,93,10,曇
2020/7/14,923,19.2,54.5,0,6.2,3.1,98,10,雨
2020/7/15,887,19.2,15,0,6,3.5,95,10,雨
2020/7/16,902,19,18.5,0,3.9,1.8,96,10,雨
2020/7/17,917,21.5,1.5,0.1,3.6,1.5,93,10,曇
2020/7/18,821,22.3,2,0,2.9,1.4,96,10,曇
2020/7/19,847,30.2,1,9.5,5.5,2.1,86,8.3,晴
2020/7/20,1036,25.8,0,1.4,4.7,2.2,91,10,曇
2020/7/21,1020,22.4,12,0,4.3,2.4,95,10,曇
2020/7/22,1038,29.9,20,5.8,4.6,1.8,88,7.3,晴
2020/7/23,933,28.4,0.5,3.4,6.2,2.1,90,10,曇
2020/7/24,898,26.8,3,8.2,6.2,2.6,85,8.5,曇
2020/7/25,826,24.2,8,0,3.2,1.6,96,10,雨
2020/7/26,840,24.6,2,0,5.4,2,98,10,雨
2020/7/27,1000,27.9,14,1.2,5.1,2.2,96,10,曇
2020/7/28,970,21.6,91.5,0,4.3,2.3,99,10,雨
2020/7/29,949,23.2,2.5,0.3,4.4,2.7,88,10,曇
2020/7/30,984,24,0,1.8,5.1,2.9,84,10,曇
2020/7/31,972,24.9,0.5,0.7,3.8,1.5,92,10,曇
2020/8/1,938,27.5,0,2.2,5.3,2.5,89,8.8,曇
2020/8/2,906,27.5,0,7.9,6.6,3.1,81,9.3,曇
2020/8/3,1101,28.3,0,6.8,4.4,2.3,85,9,晴
2020/8/4,1218,30.4,0,10,5,2.2,84,9.3,晴
2020/8/5,1225,32.2,0,9.1,4.3,1.7,80,8.5,曇
2020/8/6,1218,32.2,0,9.2,5.7,2.6,82,6.8,晴
2020/8/7,1083,30.4,0,0.8,5.7,2.4,77,8.5,曇
2020/8/8,874,24.6,10.5,0,4.8,2.2,91,10,雨
2020/8/9,844,27.6,17.5,0,4.5,2.2,96,10,雨
2020/8/10,1065,32.9,0,9.7,6.4,2.8,78,8.8,曇
2020/8/11,1217,34.7,0,12.1,4.4,1.9,77,2.8,晴
2020/8/12,1056,34.3,9,3.7,5.1,1.9,77,7.3,曇
2020/8/13,1035,33.8,0,8.4,4.3,2,72,5,晴
