inlf,nwifeinc,educ,exper,expersq,age,kidslt6,kidsge6,hours
1,10.91005993,12,14,196,32,1,0,1610
1,19.49998093,12,5,25,30,0,2,1656
1,12.03991032,12,15,225,35,1,3,1980
1,6.799995899,12,6,36,34,0,3,456
1,20.1000576,14,7,49,31,1,2,1568
1,9.859053612,12,33,1089,54,0,0,2032
1,9.152048111,16,11,121,37,0,2,1440
1,10.90003777,12,35,1225,54,0,0,1020
1,17.30500031,12,24,576,48,0,2,1458
1,12.92500019,12,21,441,39,0,2,1600
1,24.29995346,12,15,225,33,0,1,1969
1,19.70007133,11,14,196,42,0,1,1960
1,15.00000763,12,0,0,30,1,2,240
1,14.60000038,12,14,196,43,0,2,997
1,24.63091469,10,6,36,43,0,1,1848
1,17.53102684,11,9,81,35,0,3,1224
1,14.09998035,12,20,400,43,0,2,1400
1,15.83899975,12,6,36,39,0,5,640
1,14.10000038,12,23,529,45,0,0,2000
1,10.29996109,12,9,81,35,0,4,1324
1,22.65498161,16,5,25,42,0,2,2215
1,8.090047836,12,11,121,30,0,0,1680
1,17.47900009,13,18,324,48,0,0,1600
1,9.56000042,12,15,225,45,0,0,800
1,8.274952888,12,4,16,31,1,1,1955
1,27.34998512,17,21,441,43,0,2,660
1,16,12,31,961,59,0,0,525
1,16.99998283,12,9,81,32,0,3,1904
1,15.10005569,17,7,49,31,1,0,1516
1,15.6999836,12,7,49,42,0,0,346
1,5.118959904,11,32,1024,50,0,0,1040
1,16.75001144,16,11,121,59,0,0,732
1,13.59993172,13,16,256,36,0,2,1880
1,17.10004807,12,14,196,51,0,1,1680
1,16.73404884,16,27,729,45,0,3,2081
1,14.19697762,11,0,0,42,0,1,690
1,10.3199873,12,17,289,46,0,0,4210
1,11.38410473,10,28,784,46,0,1,2205
1,14.59407806,14,24,576,51,0,0,1952
1,17.50043869,17,11,121,30,0,0,1302
1,15.50999641,12,1,1,30,1,2,112
1,21.9999752,12,14,196,57,0,0,893
1,22.5,16,6,36,31,1,2,583
